ObjectID,GlobalID,Date and Time,Notes about area assessed:,Select shrub subspecies,Shrub height (cm),Shrub width 1 (cm),Shrub width 2 (cm),Number of green Rhopalomyia californica galls,Number of dried Rhopalomyia californica galls,distinct areas of Puccinia evadens,Number of Gnorimoschema baccharisella galls,Presence of Aceria baccharipha galls,other notes,CreationDate,Creator,EditDate,Editor,x,y
159,649a734d-b61e-46fb-a257-2eeb353aae1e,4/24/2021 12:04:00 AM,,Baccharis pilularis ssp. consanguinea,119,149,110,0,0,0,0,no,,4/24/2021 6:41:33 AM,kas063_UCSDOnline,4/24/2021 6:41:33 AM,kas063_UCSDOnline,-117.236743792964,32.8812076196669
160,9241f3e2-8618-49af-b3cd-cf30654f13a9,4/24/2021 6:42:00 AM,,,190,160,230,0,0,0,0,no,,4/24/2021 6:44:59 AM,kas063_UCSDOnline,4/24/2021 6:44:59 AM,kas063_UCSDOnline,-117.236670199919,32.8813019306582
161,f2301329-ed66-4954-a808-fc9b8fdd2a63,4/24/2021 12:10:00 AM,,Baccharis pilularis ssp. pilularis,66,104,104,0,0,0,0,no,,4/24/2021 6:48:47 AM,kas063_UCSDOnline,4/24/2021 6:48:47 AM,kas063_UCSDOnline,-117.236881080897,32.88140761592
162,77b5c2e6-8af9-4949-aee1-c2c94763836d,4/25/2021 2:58:00 PM,"along south side of trail, near elderberry tree",Baccharis pilularis ssp. consanguinea,122,110,90,2,0,0,0,no,,4/25/2021 3:55:18 PM,kuyeda_UCSDOnline,4/25/2021 3:55:18 PM,kuyeda_UCSDOnline,-117.2142895,32.8588641
163,69cf6fa1-0489-48b1-8f4e-661f7d1e86f7,4/25/2021 3:12:00 PM,"north side of trail, open area",Baccharis pilularis ssp. consanguinea,145,110,120,1,0,0,0,no,"black blob on leaf, aphids",4/25/2021 3:55:19 PM,kuyeda_UCSDOnline,4/25/2021 3:55:19 PM,kuyeda_UCSDOnline,-117.2133514,32.8592086
164,7103697f-671a-4631-a4ba-2bcbe0447435,4/25/2021 9:17:00 PM,This shrub is located at the beginning of the Ventura Institute hike on the UCSD campus. The shrub stands apart from the other plants nearby. ,Baccharis pilularis ssp. consanguinea,149.5,137.7,123.4,0,7,2,3,no,,4/25/2021 9:51:07 PM,j3swanso_UCSDOnline,4/25/2021 9:51:07 PM,j3swanso_UCSDOnline,-117.243043491726,32.8699194034867
165,0a5392ff-6ab3-4340-96c3-f42cc37855ca,4/25/2021 10:03:00 PM,This area was quite dense with coyote brush and on very uneven terrain. ,Baccharis pilularis ssp. consanguinea,149.6,148.2,80.7,6,4,2,4,no,,4/25/2021 10:58:11 PM,j3swanso_UCSDOnline,4/25/2021 11:16:38 PM,j3swanso_UCSDOnline,-117.245480027159,32.8693278087609
166,50ee13fa-fc23-4d3e-ad65-26d790b6f86d,4/25/2021 11:02:00 PM,Very small coyote shrub located very close to the ground in a very dry area with sparse green shrubs nearby.,Baccharis pilularis ssp. pilularis,99.6,63.3,74.5,7,6,0,0,no,,4/25/2021 11:12:54 PM,j3swanso_UCSDOnline,4/25/2021 11:18:51 PM,j3swanso_UCSDOnline,-117.246972844114,32.8686828213119
167,4d37375c-4599-4f13-9622-4d5923c7fc22,4/25/2021 11:19:00 PM,Very small coyote shrub located very close to the edge of the trail. Somewhat entangled with some other plants on either side. ,Baccharis pilularis ssp. pilularis,7.2,9.6,20.2,1,2,0,0,no,,4/25/2021 11:26:14 PM,j3swanso_UCSDOnline,4/25/2021 11:26:14 PM,j3swanso_UCSDOnline,-117.247271910419,32.8677293798261
168,2268434b-09a7-4060-a825-3e9127b4df2a,4/25/2021 11:13:00 PM,Very short coyote shrub spotted right next to the narrow trail on a small slope. Lots of other vegetation nearby. ,Baccharis pilularis ssp. pilularis,90.9,86.6,71.3,9,4,3,0,yes,,4/25/2021 11:48:05 PM,j3swanso_UCSDOnline,4/25/2021 11:48:05 PM,j3swanso_UCSDOnline,-117.246921463047,32.8684338368782
169,14085f89-d489-4fb6-94bf-66cb9d2e0b1f,4/25/2021 11:50:00 PM,Coyote shrub located adjacent to hiking trail on somewhat even terrain. Tons of other coyote brush growing around it as well. ,Baccharis pilularis ssp. consanguinea,134.7,119.3,84.6,5,4,0,0,no,,4/25/2021 11:57:18 PM,j3swanso_UCSDOnline,4/25/2021 11:57:18 PM,j3swanso_UCSDOnline,-117.245432753225,32.8693235758998
170,8dc079b7-eaa3-45e4-ad61-9c6b4dd89446,4/25/2021 11:57:00 PM,Shrub located off the beaten path. Surrounded by tons of other coyote brush. Sitting on very uneven terrain. ,Baccharis pilularis ssp. consanguinea,138.6,125.5,110.3,9,7,0,1,no,,4/26/2021 12:02:02 AM,j3swanso_UCSDOnline,4/26/2021 12:02:02 AM,j3swanso_UCSDOnline,-117.245385646929,32.8693366516688
171,fda88193-5e42-4ffb-b89c-a3ae3cafb6fe,4/26/2021 12:02:00 AM,Small coyote shrub seen hanging over the hiking trail. Very close to the bumpy terrain. Barely has anything on it. ,Baccharis pilularis ssp. pilularis,56.6,54.2,51.1,1,3,0,1,no,,4/26/2021 12:07:51 AM,j3swanso_UCSDOnline,4/26/2021 12:07:51 AM,j3swanso_UCSDOnline,-117.245323453208,32.8693542955749
172,620f97c8-f144-4476-aa1d-577c41a10186,4/26/2021 12:07:00 AM,Very small shrub located next to the trail next to a few other shrubs on fairly even ground.,Baccharis pilularis ssp. pilularis,72,62.4,48.5,3,3,1,0,no,,4/26/2021 12:11:54 AM,j3swanso_UCSDOnline,4/26/2021 12:11:54 AM,j3swanso_UCSDOnline,-117.245261510943,32.8693879908257
173,26c35780-1505-49cf-aa46-425578f56be2,4/26/2021 12:12:00 AM,Small coyote shrub growing next to the trail. Surrounded by very wilted plants. Has very few green galls.,Baccharis pilularis ssp. pilularis,93.7,74.4,87,2,5,0,1,no,,4/26/2021 12:17:36 AM,j3swanso_UCSDOnline,4/26/2021 12:17:36 AM,j3swanso_UCSDOnline,-117.244857000296,32.8694476280668
174,5536611c-ee32-433a-bccb-3936552c831c,4/26/2021 12:19:00 AM,Very wide coyote shrub sitting on somewhat level terrain. Ground area surrounding shrub is super even. Many different plants nearby right behind the plant. ,Baccharis pilularis ssp. consanguinea,142.3,147.4,61.3,8,10,1,2,no,,4/26/2021 12:22:50 AM,j3swanso_UCSDOnline,4/26/2021 12:22:50 AM,j3swanso_UCSDOnline,-117.244837219005,32.8695134260066
175,09394cfe-9cd5-4d1a-a883-108628088b41,4/26/2021 12:23:00 AM,"Spotted on very even ground, very small coyote shrub sitting by itself around other wilted grasses. ",Baccharis pilularis ssp. pilularis,62,88.2,45.1,1,3,0,0,no,,4/26/2021 12:28:08 AM,j3swanso_UCSDOnline,4/26/2021 12:28:08 AM,j3swanso_UCSDOnline,-117.244494315346,32.8694943152674
176,55140cec-b96f-48cb-bf5d-105140cfc9c4,4/26/2021 10:24:00 PM,"Found in a rocky, flat area.",Baccharis pilularis ssp. consanguinea,35,29,23,1,2,0,0,no,,4/26/2021 10:28:43 PM,aburquiz_UCSDOnline,4/26/2021 10:28:43 PM,aburquiz_UCSDOnline,-117.221624395186,32.857424879414
177,36f7bd40-3c10-4655-ba35-f12302de8cf6,4/26/2021 10:30:00 PM,"Found in a rocky, southeast facing slope.",Baccharis pilularis ssp. consanguinea,38,39,23,0,0,0,0,no,,4/26/2021 10:32:26 PM,aburquiz_UCSDOnline,4/26/2021 10:32:26 PM,aburquiz_UCSDOnline,-117.221383612169,32.8575041206282
178,df7aa262-2aa5-4b47-86ce-a4efe78c6d0a,4/26/2021 10:34:00 PM,"Found in rocky area, on southeast facing slope. Yeah ",Baccharis pilularis ssp. consanguinea,50,31,36,0,0,0,0,yes,,4/26/2021 10:36:48 PM,aburquiz_UCSDOnline,4/26/2021 10:36:48 PM,aburquiz_UCSDOnline,-117.221381363149,32.8575618166558
179,afc10094-a3dc-4fee-95eb-d726899820ad,4/26/2021 10:37:00 PM,"Rocky, southeast facing slope.",Baccharis pilularis ssp. consanguinea,53,46,47,0,0,0,0,no,,4/26/2021 10:40:23 PM,aburquiz_UCSDOnline,4/26/2021 10:40:23 PM,aburquiz_UCSDOnline,-117.221406129184,32.8574740128651
180,9cfd93a8-572e-4877-8d8e-6c1883733720,4/26/2021 10:42:00 PM,Rocky area near a drain.,Baccharis pilularis ssp. consanguinea,91,85,82,1,1,6,0,no,,4/26/2021 10:46:36 PM,aburquiz_UCSDOnline,4/26/2021 10:46:36 PM,aburquiz_UCSDOnline,-117.221610742973,32.8574444270435
181,583d7f39-be1d-41b1-a464-37fd5d6d5702,4/26/2021 10:50:00 PM,Found near hard soil by trail.,Baccharis pilularis ssp. consanguinea,70,43,50,2,0,0,0,yes,,4/26/2021 10:55:55 PM,aburquiz_UCSDOnline,4/26/2021 10:55:55 PM,aburquiz_UCSDOnline,-117.221670214935,32.857393485644
182,ca586eea-ab06-40c0-b4ac-dbb96836bfa6,4/26/2021 10:58:00 PM,Hard-packed soil surrounded by large bushes.,Baccharis pilularis ssp. consanguinea,20,13,11,1,0,0,0,no,,4/26/2021 11:00:43 PM,aburquiz_UCSDOnline,4/26/2021 11:00:43 PM,aburquiz_UCSDOnline,-117.220800303984,32.8579168253406
183,dc13ac81-8d84-4f2a-95a4-d399481ef0dd,4/26/2021 11:01:00 PM,"Flat, hard-packed ground.",Baccharis pilularis ssp. consanguinea,33,20,17,2,0,0,0,no,,4/26/2021 11:03:09 PM,aburquiz_UCSDOnline,4/26/2021 11:03:09 PM,aburquiz_UCSDOnline,-117.22084395139,32.8578917580818
184,e87c5716-7053-48ab-814f-e04cd7337933,4/26/2021 11:06:00 PM,Found at the bottom of a hill of ice plant.,Baccharis pilularis ssp. consanguinea,26,24,35,0,0,0,0,no,,4/26/2021 11:08:56 PM,aburquiz_UCSDOnline,4/26/2021 11:08:56 PM,aburquiz_UCSDOnline,-117.220219156071,32.858401872447
185,1f63b019-976d-417d-b4f8-518086f36d88,4/26/2021 11:13:00 PM,In an area made up mostly of ice plants.,Baccharis pilularis ssp. consanguinea,16,22,23,0,0,0,0,no,,4/26/2021 11:15:11 PM,aburquiz_UCSDOnline,4/26/2021 11:15:11 PM,aburquiz_UCSDOnline,-117.220493323295,32.8582307238588
186,ad170b86-1376-40c7-9571-157bcc4b3f6d,4/26/2021 11:24:00 PM,Southeast facing slope,Baccharis pilularis ssp. consanguinea,37,34,36,1,0,0,1,yes,,4/26/2021 11:27:23 PM,aburquiz_UCSDOnline,4/26/2021 11:27:23 PM,aburquiz_UCSDOnline,-117.218741295265,32.8585788955276
187,dae86219-028e-472e-b592-4d5b1046d6ff,4/26/2021 11:28:00 PM,"Rocky, hard-packed soil.",Baccharis pilularis ssp. consanguinea,79,45,62,1,0,5,0,no,,4/26/2021 11:31:27 PM,aburquiz_UCSDOnline,4/26/2021 11:31:27 PM,aburquiz_UCSDOnline,-117.218781119156,32.8585336087196
188,0954920c-0caf-46fa-91ec-e529cdf7c593,4/26/2021 11:37:00 PM,Found in a field of grass.,Baccharis pilularis ssp. consanguinea,54,62,50,0,0,0,0,yes,,4/26/2021 11:39:16 PM,aburquiz_UCSDOnline,4/26/2021 11:39:16 PM,aburquiz_UCSDOnline,-117.221410645677,32.857405360781
189,3fe7757b-548a-4a89-90f4-061aa78e0a63,4/26/2021 11:40:00 PM,Found growing in burned bush.,Baccharis pilularis ssp. consanguinea,46,42,29,1,0,1,0,no,,4/26/2021 11:42:05 PM,aburquiz_UCSDOnline,4/26/2021 11:42:05 PM,aburquiz_UCSDOnline,-117.220935982806,32.8587022041379
190,0beffa1e-90fb-46aa-a2ec-9b9506b720e6,4/26/2021 11:45:00 PM,Found in dried out area of grasses.,Baccharis pilularis ssp. consanguinea,62,52,24,0,4,0,0,no,,4/26/2021 11:47:11 PM,aburquiz_UCSDOnline,4/26/2021 11:47:11 PM,aburquiz_UCSDOnline,-117.22197464013,32.8574774186604
191,1e39bd45-6f1e-4335-97cb-978ecc0b014a,4/26/2021 11:48:00 PM,"Flat, dry ground, surrounded by other shrubs of same size.",Baccharis pilularis ssp. consanguinea,70,68,53,2,0,0,0,no,,4/26/2021 11:50:45 PM,aburquiz_UCSDOnline,4/26/2021 11:50:45 PM,aburquiz_UCSDOnline,-117.220118412412,32.8571471392038
192,df13c0e4-5ee1-488c-8368-b268e2ababff,4/26/2021 11:51:00 PM,Dried out grass area.,Baccharis pilularis ssp. consanguinea,40,22,15,0,0,0,0,no,,4/26/2021 11:52:55 PM,aburquiz_UCSDOnline,4/26/2021 11:52:55 PM,aburquiz_UCSDOnline,-117.220077605449,32.8572482444751
193,901586f5-55f8-4dc1-8ee7-242172a2bde2,4/26/2021 10:24:00 PM,"Near railroad, growing in gravel near some wildflowers, green galls are on the north side of bush ",Baccharis pilularis ssp. consanguinea,84,101,74,3,1,0,0,yes,,4/27/2021 12:40:33 AM,s1lippma_UCSDOnline,4/27/2021 12:40:33 AM,s1lippma_UCSDOnline,-117.221638625597,32.8573543438994
194,da7cf89a-9231-4cca-907a-a6fe97ef4929,4/26/2021 10:29:00 PM,On side of railroad in gravel next to other dried up bushes,Baccharis pilularis ssp. consanguinea,42,26,16,3,0,0,0,no,,4/27/2021 12:40:35 AM,s1lippma_UCSDOnline,4/27/2021 12:40:35 AM,s1lippma_UCSDOnline,-117.221536953111,32.8573809145324
195,2c9a86bd-98ee-4bbd-8ece-2969315a7f8c,4/26/2021 10:31:00 PM,"On side of railroad, in gravel near other dried brush, most all the galls on the north side  ",Baccharis pilularis ssp. consanguinea,68,104,72,6,5,0,0,yes,,4/27/2021 12:40:37 AM,s1lippma_UCSDOnline,4/27/2021 12:40:37 AM,s1lippma_UCSDOnline,-117.221523122971,32.8573974268817
196,3480df34-fb09-403a-a6d3-6d25e91e071c,4/26/2021 10:37:00 PM,"In the gravel on the side of the railroad, next to other shrubs ",Baccharis pilularis ssp. consanguinea,34,21,14,0,0,0,0,no,Lots of dried up leaves ,4/27/2021 12:40:38 AM,s1lippma_UCSDOnline,4/27/2021 12:40:38 AM,s1lippma_UCSDOnline,-117.221535863464,32.8574025398426
197,832f9768-be72-46e8-b951-142f4f1ecf9f,4/26/2021 10:45:00 PM,Off side of railroad on the perimeter of a sensitive restoration habitat site ,Baccharis pilularis ssp. consanguinea,37,24,14,0,0,0,0,yes,Lots of ants ,4/27/2021 12:40:39 AM,s1lippma_UCSDOnline,4/27/2021 12:40:39 AM,s1lippma_UCSDOnline,-117.221776340266,32.8572999453478
198,0cbddab9-08e7-4c73-93e6-2e3dac2f2b89,4/26/2021 10:53:00 PM,"Near rail road, off side of dirt trail near dried brush",Baccharis pilularis ssp. consanguinea,32,42,24,0,1,0,0,no,,4/27/2021 12:40:42 AM,s1lippma_UCSDOnline,4/27/2021 12:40:42 AM,s1lippma_UCSDOnline,-117.221048623433,32.8578800987758
199,0b0be562-592f-47ea-9a74-5c00a9ab25c6,4/26/2021 10:56:00 PM,"On side of trail im shade of a tree, near ice plant ",Baccharis pilularis ssp. consanguinea,25,28,24,0,0,0,0,no,,4/27/2021 12:40:44 AM,s1lippma_UCSDOnline,4/27/2021 12:40:44 AM,s1lippma_UCSDOnline,-117.221019035314,32.8578483313628
200,97300eae-bbb6-4dcb-8a29-44a157c062b1,4/26/2021 11:00:00 PM,Side of trail near wild flowers ,Baccharis pilularis ssp. consanguinea,26,15,13,0,3,0,0,no,,4/27/2021 12:40:47 AM,s1lippma_UCSDOnline,4/27/2021 12:40:47 AM,s1lippma_UCSDOnline,-117.220881153007,32.8579199547254
201,027c00d1-341f-4bb5-a028-b523f64bf817,4/26/2021 11:02:00 PM,On side of trail near other coyote brush plants ,Baccharis pilularis ssp. consanguinea,35,33,25,0,0,0,0,no,,4/27/2021 12:40:49 AM,s1lippma_UCSDOnline,4/27/2021 12:40:49 AM,s1lippma_UCSDOnline,-117.220861455535,32.8579047834807
202,3fd957db-a981-4737-aa00-3bdd1d65297e,4/26/2021 11:06:00 PM,Off side is trail near lots of Ice plant ,Baccharis pilularis ssp. consanguinea,17,25,20,0,0,0,0,no,,4/27/2021 12:40:50 AM,s1lippma_UCSDOnline,4/27/2021 12:40:50 AM,s1lippma_UCSDOnline,-117.220770930981,32.8579723416202
203,7f5c0833-1446-48bc-8f19-d5dc2b268f3f,4/26/2021 11:09:00 PM,Off side of trail at bottom of ice plant hill,Baccharis pilularis ssp. consanguinea,94,104,76,14,4,0,0,yes,"Two of the galls were a red/purple color, most galls on the west side ",4/27/2021 12:40:52 AM,s1lippma_UCSDOnline,4/27/2021 12:40:52 AM,s1lippma_UCSDOnline,-117.220720388104,32.8579978226059
204,1412009d-bc11-4b29-b4b2-055982d7ded4,4/26/2021 11:24:00 PM,Off side of trail on east facing slope near other brush,Baccharis pilularis ssp. consanguinea,95,89,62,0,1,0,0,no,,4/27/2021 12:40:54 AM,s1lippma_UCSDOnline,4/27/2021 12:40:54 AM,s1lippma_UCSDOnline,-117.218718957265,32.8585440712356
205,63d29473-c7a9-4a4c-ac9a-e39d08852002,4/26/2021 11:28:00 PM,West facing slope near other brush plants ,Baccharis pilularis ssp. consanguinea,48,38,32,0,0,0,0,no,"Had some white bubbly foam on the leaves, not sure what it was?",4/27/2021 12:40:54 AM,s1lippma_UCSDOnline,4/27/2021 12:40:54 AM,s1lippma_UCSDOnline,-117.218772936722,32.8585315402903
206,685632e4-ab4b-4c14-9144-2a54817d0407,4/26/2021 11:37:00 PM,"On side of trail near field of dried grass, no other shrubs nearby ",Baccharis pilularis ssp. consanguinea,82,97,81,0,1,0,0,no,,4/27/2021 12:40:55 AM,s1lippma_UCSDOnline,4/27/2021 12:40:55 AM,s1lippma_UCSDOnline,-117.220938233768,32.8568935487725
207,92abdb90-e45c-4a5f-bd0c-2704e0ab8d4b,4/26/2021 11:41:00 PM,Near other shrubs in a dry area,Baccharis pilularis ssp. consanguinea,36,31,22,1,0,0,0,no,,4/27/2021 12:40:56 AM,s1lippma_UCSDOnline,4/27/2021 12:40:56 AM,s1lippma_UCSDOnline,-117.221126658951,32.8568849573218
208,f7823e9a-55d9-4d6f-a0b6-8e0256150d2b,4/26/2021 11:46:00 PM,Off side of trail in dry field,Baccharis pilularis ssp. consanguinea,27,20,14,0,0,0,0,no,Lots of dry leaves ,4/27/2021 12:40:57 AM,s1lippma_UCSDOnline,4/27/2021 12:40:57 AM,s1lippma_UCSDOnline,-117.220152095069,32.8573596664079
209,fc444e0c-3bdd-4ef0-a7ba-edf3b6ba1fda,4/26/2021 11:50:00 PM,Next to dry branches,Baccharis pilularis ssp. consanguinea,37,14,10,2,1,0,0,no,"The green galls were very small, just starting to form I think",4/27/2021 12:40:58 AM,s1lippma_UCSDOnline,4/27/2021 12:40:58 AM,s1lippma_UCSDOnline,-117.220123764237,32.8571649967067
210,dff66351-5736-4c28-92ce-d1f544476302,4/30/2021 12:27:00 AM,Chapparel next to rail road tracks. Found alongside another coyote brush plant.,Baccharis pilularis ssp. consanguinea,79,48,32,0,2,10,0,no,,4/30/2021 12:30:19 AM,mhibler_UCSDOnline,4/30/2021 12:30:19 AM,mhibler_UCSDOnline,-117.218408072476,32.8588472027638
211,eecfca80-6e06-4d57-a42d-ccbe368f6787,4/30/2021 12:32:00 AM,Alongside railroad tracks,Baccharis pilularis ssp. consanguinea,132,150,147,5,8,0,2,no,,4/30/2021 12:35:16 AM,mhibler_UCSDOnline,4/30/2021 12:35:16 AM,mhibler_UCSDOnline,-117.218247810488,32.8585646907174
212,2006c000-1d8a-4994-932e-49aa93a46c42,4/30/2021 12:36:00 AM,Found growing alongside a disturbed footpath area.,Baccharis pilularis ssp. consanguinea,32,23,33,1,0,0,0,no,,4/30/2021 12:38:26 AM,mhibler_UCSDOnline,4/30/2021 12:38:26 AM,mhibler_UCSDOnline,-117.218567412456,32.8586888686129
213,b983e492-162e-4172-be11-53200d47d3f2,4/30/2021 12:43:00 AM,Another plant found at the edge of a path.,Baccharis pilularis ssp. consanguinea,122,56,74,0,8,2,0,no,,4/30/2021 12:46:31 AM,mhibler_UCSDOnline,4/30/2021 12:46:31 AM,mhibler_UCSDOnline,-117.218830352758,32.8584469249778
214,08f8adb7-e70c-482b-a940-12e9a374b5f7,4/30/2021 12:46:00 AM,Near railroad tracks growing right where dirt ends and asphalt starts.,Baccharis pilularis ssp. consanguinea,114,64,53,0,0,4,0,no,,4/30/2021 12:49:16 AM,mhibler_UCSDOnline,4/30/2021 12:49:16 AM,mhibler_UCSDOnline,-117.218888439347,32.8585351025992
215,e70861b3-df73-4d17-9664-72d7a149d455,4/30/2021 12:56:00 AM,Found along a hiking path in chaparral ,Baccharis pilularis ssp. consanguinea,135,89,78,3,1,1,0,no,,4/30/2021 12:59:57 AM,mhibler_UCSDOnline,4/30/2021 12:59:57 AM,mhibler_UCSDOnline,-117.220387542729,32.8577931784399
216,56370db6-bf3f-4415-b9f9-9673075d3b99,4/30/2021 1:00:00 AM,Highly disturbed area from hiking and biking,Baccharis pilularis ssp. consanguinea,63,25,30,3,5,0,0,no,,4/30/2021 1:03:09 AM,mhibler_UCSDOnline,4/30/2021 1:03:09 AM,mhibler_UCSDOnline,-117.221033033093,32.8578556236186
217,5ca624f3-dae1-4670-92c6-987cf9eff70a,4/30/2021 1:08:00 AM,Growing in loose gravel and rocks.,Baccharis pilularis ssp. consanguinea,47,64,48,5,5,0,0,no,,4/30/2021 1:10:32 AM,mhibler_UCSDOnline,4/30/2021 1:10:32 AM,mhibler_UCSDOnline,-117.221543910091,32.8574397135832
218,f90967a0-abb9-4e0b-b1f7-2de342e14a65,4/30/2021 1:11:00 AM,Growing in gravel alongside railroad tracks.,Baccharis pilularis ssp. consanguinea,78,43,39,1,3,3,0,yes,,4/30/2021 1:13:59 AM,mhibler_UCSDOnline,4/30/2021 1:13:59 AM,mhibler_UCSDOnline,-117.221573162933,32.8573680483111
219,1aeeabeb-b2ef-4cb8-ba41-fe19804d0076,4/30/2021 1:14:00 AM,Growing next to a storm drain in gravel.,Baccharis pilularis ssp. consanguinea,96,63,70,2,4,3,0,yes,,4/30/2021 1:17:07 AM,mhibler_UCSDOnline,4/30/2021 1:17:07 AM,mhibler_UCSDOnline,-117.221637703588,32.8574106283792
220,b4747435-859a-429c-a6f4-968f36c04e55,4/30/2021 1:17:00 AM,"Growing with other shrubs in a disturbed area, lots of dried grasses nearby.",Baccharis pilularis ssp. consanguinea,113,54,56,4,1,5,0,no,,4/30/2021 1:20:29 AM,mhibler_UCSDOnline,4/30/2021 1:20:29 AM,mhibler_UCSDOnline,-117.221843814586,32.857276643657
221,29fe4342-a36b-4ce7-b173-076809596ce2,4/30/2021 1:22:00 AM,Disturbed chapparel along hiking paths.,Baccharis pilularis ssp. consanguinea,72,66,48,0,0,0,0,no,This little shrub looked very healthy and I couldn’t find any galls or organisms on it.,4/30/2021 1:25:01 AM,mhibler_UCSDOnline,4/30/2021 1:25:01 AM,mhibler_UCSDOnline,-117.221824284752,32.8573952894964
222,b92b3117-b995-4bb4-814f-f2e552f3cbc9,4/30/2021 4:27:00 PM,Near a man made path with no other greenery in the immediate surrounding,Baccharis pilularis ssp. consanguinea,80,112,85,0,0,0,0,no,,4/30/2021 4:32:13 PM,kas063_UCSDOnline,4/30/2021 4:32:13 PM,kas063_UCSDOnline,-117.236273054443,32.8811781213887
223,0dc44ba3-61b3-4e0c-b561-f49c64c7a9ad,4/30/2021 4:38:00 PM,Bush was on an incline near a non busy parking lot.  It doesnt look like it gets disturbed very often so that might be why there are so many galls on it!,Baccharis pilularis ssp. consanguinea,127,136,130,10,2,0,6,no,,4/30/2021 4:55:38 PM,kas063_UCSDOnline,4/30/2021 4:55:38 PM,kas063_UCSDOnline,-117.237746516118,32.8816026440268
224,af53c7cb-a2a8-486e-8c6f-b25f261b2f7e,4/30/2021 4:57:00 PM,It was found next to a sidewalk that has little to no ,Baccharis pilularis ssp. consanguinea,110,132,119,5,0,0,3,no,,4/30/2021 5:08:40 PM,kas063_UCSDOnline,4/30/2021 5:08:40 PM,kas063_UCSDOnline,-117.237943148829,32.881499340458
225,31b46717-9f36-42f9-b6d7-0e2a908a1d21,4/30/2021 5:08:00 PM,Surrounded by greenery with no paths around it.  Its constantly under sunlight by due to the reflection the windows of geisel provide,Baccharis pilularis ssp. consanguinea,114,110,60,0,0,0,0,no,,4/30/2021 5:18:06 PM,kas063_UCSDOnline,4/30/2021 5:18:06 PM,kas063_UCSDOnline,-117.238073555506,32.8815430883108
226,4f789fc3-21ef-4101-8200-f104cd52944e,4/30/2021 5:20:00 PM,Very dense greenery surrounding it.  The bush itself had very thin branches with a majority of the leaves being high off the ground,Baccharis pilularis ssp. consanguinea,160,120,65,0,0,0,0,no,,4/30/2021 5:24:12 PM,kas063_UCSDOnline,4/30/2021 5:24:12 PM,kas063_UCSDOnline,-117.237951968886,32.8813392653413
227,831c0412-8b5b-47fd-b72b-55e6b768351b,4/30/2021 5:27:00 PM,Surrounded by woodchips on level ground. No greenery in immediate area.,Baccharis pilularis ssp. consanguinea,60,64,42,0,0,0,0,yes,,4/30/2021 5:30:35 PM,kas063_UCSDOnline,4/30/2021 5:30:35 PM,kas063_UCSDOnline,-117.237927483397,32.8812725996601
228,c72f4a58-1c86-4672-8476-37a4a4cede57,4/30/2021 5:30:00 PM,On an incline with some greenery around it. Some of its branches as well as the branches of plants around it were dried off,Baccharis pilularis ssp. consanguinea,116,110,83,4,0,0,0,no,,4/30/2021 5:35:16 PM,kas063_UCSDOnline,4/30/2021 5:35:16 PM,kas063_UCSDOnline,-117.238013515255,32.8813612264904
229,6500eedc-6771-4969-8e7f-556446b147bc,4/30/2021 5:36:00 PM,Theres woodchips surrounding it as well as dried up branches from other plants,Baccharis pilularis ssp. consanguinea,90,90,45,1,0,0,0,no,,4/30/2021 5:39:30 PM,kas063_UCSDOnline,4/30/2021 5:39:30 PM,kas063_UCSDOnline,-117.237880736741,32.8814734330464
230,17cac191-dd6d-4da3-97b6-b13093435d88,4/30/2021 5:44:00 PM,"No greenery surrounding it, but there seems to be plenty of dead leaves and branches. The shrub is right next to a cement path.",Baccharis pilularis ssp. consanguinea,71,57,27,1,0,0,6,no,,4/30/2021 5:48:40 PM,kas063_UCSDOnline,4/30/2021 5:48:40 PM,kas063_UCSDOnline,-117.238253078873,32.8824551749315
231,ebbb29de-3d4e-4d23-bdf3-0fcf0c702dbb,4/30/2021 5:50:00 PM,Many dried leaves in the surrounding as well as as small plaqny ants could be found in the bush itselfts. ,Baccharis pilularis ssp. consanguinea,82,65,56,0,1,0,0,no,,4/30/2021 5:55:58 PM,kas063_UCSDOnline,4/30/2021 5:55:58 PM,kas063_UCSDOnline,-117.238412189246,32.8824377375751
232,faac4070-dbc6-423a-9b55-d1f43192fc85,4/30/2021 5:57:00 PM,Very dry area with lots of dead leaves and branches,Baccharis pilularis ssp. consanguinea,57,40,28,0,0,0,0,no,,4/30/2021 6:01:30 PM,kas063_UCSDOnline,4/30/2021 6:01:30 PM,kas063_UCSDOnline,-117.238384023928,32.8824057814155
233,9b9846cb-9bdf-4d5c-8824-acdccf9eb522,4/30/2021 6:11:00 PM,Lots of greenery in the surrounding area. There is walking path next to the bush as well as some eucalyptus trees,Baccharis pilularis ssp. consanguinea,107,76,110,6,1,0,0,no,,4/30/2021 6:15:08 PM,kas063_UCSDOnline,4/30/2021 6:15:08 PM,kas063_UCSDOnline,-117.236316338606,32.8814332624666
234,399761ef-d5a0-44e4-a788-b583fc7286fe,4/30/2021 6:23:00 PM,Dry gradient on north facing sloped hill. Hard pack dirt ground.,Baccharis pilularis ssp. consanguinea,60,75,60,5,14,5,2,no,,4/30/2021 6:25:07 PM,pbonebra_UCSDOnline,4/30/2021 6:25:07 PM,pbonebra_UCSDOnline,-117.233694745067,32.8839715627942
